dauer;status;beginn.monat;female;male;alter;bild
36;0;90;1;0;36;2
28;0;59;0;1;30;2
7;1;69;1;0;27;1
4;1;100;0;1;26;2
14;0;53;0;1;50;2
2;0;43;0;1;44;2
1;1;21;1;0;39;1
3;1;34;0;1;39;1
2;0;123;1;0;51;2
7;1;11;0;1;36;2
11;0;83;0;1;56;1
36;0;84;0;1;55;1
8;1;63;1;0;51;2
4;1;114;0;1;36;1
30;0;4;1;0;45;1
8;1;55;0;1;27;2
7;0;4;0;1;43;1
3;0;3;1;0;25;2
6;1;103;0;1;39;1
36;0;94;1;0;50;2
36;1;83;1;0;26;3
2;1;65;1;0;29;2
5;1;63;1;0;46;2
3;0;22;0;1;42;1
36;0;7;0;1;38;2
6;1;73;0;1;44;2
16;0;93;0;1;59;2
4;1;121;1;0;25;2
10;0;59;1;0;29;2
5;0;93;1;0;26;1
1;1;109;0;1;37;2
3;1;99;1;0;30;1
16;0;62;0;1;59;2
7;0;103;1;0;36;2
36;0;50;0;1;53;3
36;0;82;1;0;41;2
4;0;10;1;0;30;2
15;0;33;1;0;60;3
4;0;121;0;1;27;2
12;0;113;0;1;33;2
3;1;99;0;1;31;1
25;0;89;0;1;58;2
6;0;79;1;0;60;2
25;0;62;1;0;60;2
14;1;56;0;1;43;1
16;0;105;0;1;62;1
11;1;71;0;1;47;3
36;0;19;1;0;32;2
2;1;117;1;0;25;2
29;0;21;0;1;58;2
4;1;101;0;1;40;3
16;1;64;0;1;32;2
5;0;120;1;0;53;2
14;0;72;1;0;33;2
7;1;105;1;0;40;2
17;0;19;0;1;59;1
26;0;91;1;0;55;3
13;0;52;0;1;55;2
4;1;118;0;1;48;1
3;1;19;0;1;51;2
2;1;64;0;1;57;1
33;0;82;1;0;59;2
25;1;17;1;0;41;2
6;0;119;0;1;57;1
17;1;39;0;1;47;2
2;0;92;1;0;28;3
25;1;12;1;0;52;2
2;1;99;1;0;35;1
1;1;77;0;1;44;2
2;1;12;1;0;26;2
6;1;74;0;1;50;3
1;1;101;1;0;40;1
12;1;98;1;0;25;2
3;1;120;0;1;39;2
36;0;85;1;0;52;2
4;1;71;1;0;50;2
7;0;118;1;0;47;1
1;1;83;1;0;45;2
17;1;104;1;0;46;1
2;1;111;0;1;46;1
11;0;98;1;0;52;2
6;1;63;1;0;45;2
4;0;66;1;0;42;2
36;0;65;1;0;56;2
1;1;60;0;1;61;2
2;1;87;0;1;35;2
1;0;124;0;1;37;2
22;0;4;1;0;48;2
36;0;46;1;0;56;2
8;1;25;1;0;43;1
36;0;67;1;0;55;1
4;1;106;1;0;39;3
1;1;121;1;0;30;1
1;1;78;1;0;30;2
1;0;24;1;0;48;2
16;0;109;0;1;62;1
1;1;45;1;0;50;2
1;1;31;0;1;33;1
23;1;35;1;0;50;2
2;1;53;0;1;47;2
9;0;64;1;0;43;2
5;0;58;1;0;35;3
17;1;72;0;1;56;2
5;1;48;1;0;34;1
36;0;100;1;0;41;3
1;0;70;1;0;60;2
15;1;110;0;1;40;3
36;0;78;1;0;57;2
12;0;82;1;0;29;2
7;1;43;0;1;31;1
28;0;97;0;1;36;2
3;1;25;0;1;28;2
19;1;102;0;1;43;1
2;1;121;0;1;42;2
36;0;97;0;1;59;2
8;1;100;1;0;42;2
36;0;57;0;1;38;2
18;0;107;0;1;47;2
3;1;25;0;1;40;2
11;1;88;0;1;28;2
23;1;23;0;1;35;2
30;1;19;1;0;46;3
4;1;48;0;1;32;2
15;1;98;0;1;44;1
1;1;102;1;0;46;2
36;0;26;1;0;51;3
8;0;35;0;1;31;2
36;0;83;0;1;34;2
5;0;80;0;1;38;1
10;0;115;0;1;47;2
31;0;10;1;0;52;2
3;1;76;0;1;32;2
6;1;65;0;1;37;2
36;0;95;1;0;50;2
22;0;39;0;1;30;2
23;1;54;1;0;36;2
3;0;2;0;1;30;2
12;0;113;0;1;28;2
7;0;50;0;1;27;3
4;0;121;0;1;48;1
36;0;42;0;1;26;2
5;0;56;0;1;50;1
2;1;61;0;1;59;3
32;0;93;1;0;46;2
3;1;97;1;0;37;2
36;0;102;1;0;48;3
3;0;12;1;0;59;3
11;1;114;1;0;46;1
3;0;58;0;1;38;1
13;0;56;1;0;37;2
10;0;4;0;1;59;2
15;0;67;0;1;37;2
12;0;111;1;0;47;2
6;0;89;0;1;62;2
3;1;79;1;0;37;2
3;0;122;1;0;43;1
9;1;16;1;0;34;1
17;1;69;0;1;32;2
1;1;20;1;0;30;1
5;1;94;1;0;41;2
2;0;64;0;1;42;2
24;0;33;0;1;58;1
1;1;97;0;1;44;2
2;1;13;0;1;41;2
2;0;100;1;0;40;2
1;1;64;1;0;28;2
36;0;100;1;0;56;2
32;0;82;1;0;57;1
6;0;119;0;1;41;2
1;0;124;1;0;30;2
7;0;118;1;0;28;2
1;1;51;0;1;31;2
6;1;23;0;1;31;2
13;0;24;1;0;45;3
1;1;50;0;1;31;2
9;0;100;0;1;34;2
7;1;3;1;0;47;2
1;0;124;0;1;30;1
15;0;30;0;1;49;1
3;1;32;1;0;46;2
31;0;60;0;1;61;2
8;1;26;1;0;39;1
12;1;23;0;1;57;2
36;0;73;0;1;46;2
6;1;19;0;1;31;2
36;0;102;0;1;44;2
28;0;93;1;0;56;3
2;0;67;0;1;31;2
6;0;119;1;0;48;3
20;1;32;1;0;31;2
6;0;103;0;1;63;2
1;0;124;0;1;25;2
21;0;77;0;1;33;2
2;0;86;0;1;60;2
1;1;78;0;1;33;1
23;0;36;0;1;58;1
28;1;45;0;1;44;3
7;1;118;1;0;35;2
10;1;32;0;1;40;1
23;0;39;0;1;58;3
5;0;5;1;0;57;1
16;0;100;1;0;45;1
7;1;40;1;0;39;2
1;1;116;1;0;51;1
4;1;119;1;0;26;2
1;1;121;0;1;46;2
36;0;90;1;0;38;1
5;1;15;0;1;54;2
2;1;49;0;1;26;3
4;0;121;0;1;30;2
2;1;27;1;0;25;2
36;0;35;0;1;46;2
25;1;84;0;1;35;2
6;0;119;1;0;44;2
1;1;73;0;1;56;2
9;1;65;1;0;37;1
